action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,E_next_here_unboosted,richness_factor,label_factor,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV,R_ENV_learned,cfg_richness_alpha,cfg_richness_kappa,cfg_label_alpha
enter,enter,,,entered_cell,0,1,1,200.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,0,1,0,,0.0,0,,0.0,200.0,196.0,-0.2,0.16666666666666663,,0.0,0.0,-0.21,False,True,0.0,poor,poor,,,,,,poor,"[0.1296, 0.3704, 0.1296, 0.3704]","[0.2, 0.5, 0.2, 0.5]","[0.0, 0.0, 0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,0,1,0,196.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,1,0,0,,0.0,0,,0.0,196.0,192.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.7408, 0.2592]","[0.5, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,1,0,0,192.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,2,0,1,,0.0,0,,0.0,192.0,188.0,-0.2,0.16666666666666663,,0.0,0.0,-0.21,False,True,0.0,poor,poor,,,,,,poor,"[0.5, 0.5]","[0.2, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,2,0,1,188.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,3,0,0,,0.0,0,,0.0,188.0,184.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,3,0,0,184.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,4,0,1,,0.0,0,,0.0,184.0,180.0,-0.2,0.16666666666666663,,0.0,0.0,-0.21,False,True,0.0,poor,poor,,,,,,poor,"[0.5, 0.5]","[0.2, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,4,0,1,180.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,5,0,2,,0.0,0,,0.0,180.0,176.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,5,0,2,176.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,6,1,2,,0.0,0,,0.0,176.0,172.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.7408, 0.2592]","[0.5, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,6,1,2,172.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,7,0,2,,0.0,0,,0.0,172.0,168.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.7408, 0.2592]","[0.5, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,7,0,2,168.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
move,auto_leave,,,,8,1,2,,0.0,0,,0.0,168.0,164.0,-0.2,0.16666666666666663,,0.0,0.0,0.0,False,True,0.0,rich,None,,,,,,,"[0.7408, 0.2592]","[0.5, 0.2]","[0.0, 0.0]",200.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667,0.5666666666666667,0.5,6.0,0.35
enter,enter,,,entered_cell,8,1,2,164.0,0.0,0,rich,0.0,,,,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,,,,,
