action,decision,v_stay,v_leave,note,step,row,col,resource,reward_total,total_digs,overall,E_next_here,resource_before,resource_after,Q_stay,Q_leave,stay_prob,can_dig,can_move,available_mines_here,overall_label,explorer_label,mine_id,dig_success,reward_gained,depleted,remaining_after,move_choice_label,move_probs,move_label_scores,move_e_next,cfg_init_resource,cfg_move_cost,cfg_dig_cost,cfg_reward_amount,cfg_beta_trust,cfg_stay_leave_temp,cfg_move_temp,cfg_K,cfg_SIGMA2,cfg_baseline_mode,lambda_rate,R_ENV
enter,enter,,,entered_cell,0,1,1,375.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,0,2,1,,0.0,0,,0.0,375.0,371.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.3333, 0.3333, 0.3333]","[0.5, 0.5, 0.5]","[0.0, 0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,0,2,1,371.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,1,2,2,,0.0,0,,0.0,371.0,367.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,1,2,2,367.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,2,1,2,,0.0,0,,0.0,367.0,363.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,2,1,2,363.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,3,0,2,,0.0,0,,0.0,363.0,359.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,3,0,2,359.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,4,1,2,,0.0,0,,0.0,359.0,355.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,[1.0],[0.5],[0.0],375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,4,1,2,355.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,5,0,2,,0.0,0,,0.0,355.0,351.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,5,0,2,351.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,6,1,2,,0.0,0,,0.0,351.0,347.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,[1.0],[0.5],[0.0],375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,6,1,2,347.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,7,0,2,,0.0,0,,0.0,347.0,343.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,7,0,2,343.0,0.0,0,poor,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,8,1,2,,0.0,0,,0.0,343.0,339.0,-2.0,-3.4333333333333336,,False,True,0.0,neutral,None,,,,,,,[1.0],[0.5],[0.0],375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
enter,enter,,,entered_cell,8,1,2,339.0,0.0,0,neutral,0.0,,,,,,,,,,,,,,,,,nan,nan,nan,,,,,,,,,,,,
move,auto_leave,,,,9,2,2,,0.0,0,,0.0,339.0,335.0,-2.0,-3.4333333333333336,,False,True,0.0,poor,None,,,,,,,"[0.5, 0.5]","[0.5, 0.5]","[0.0, 0.0]",375.0,4.0,2.0,1.0,0.7,0.2,0.2,3.0,0.05,env,0.0,0.5666666666666667
